date,weekday,visitors,sales,avg_temp,rain_mm,is_holiday
2024-01-01,월,152,724862,1.5,0.0,True
2024-01-02,화,107,520425,-2.7,0.0,False
2024-01-03,수,125,601783,-1.8,0.0,False
2024-01-04,목,123,601112,1.7,0.0,False
2024-01-05,금,141,698791,-4.8,0.0,False
2024-01-06,토,165,833734,-1.0,0.0,False
2024-01-07,일,134,648510,-0.5,0.0,False
2024-01-08,월,113,565359,2.6,0.0,False
2024-01-09,화,100,475573,-4.6,0.0,False
2024-01-10,수,115,553111,-3.0,0.0,False
2024-01-11,목,112,517960,-2.4,0.0,False
2024-01-12,금,140,702275,-2.0,0.0,False
2024-01-13,토,166,803495,-0.6,0.0,False
2024-01-14,일,113,556580,-7.3,0.0,False
2024-01-15,월,104,514193,0.3,0.0,False
2024-01-16,화,100,454080,3.1,0.0,False
2024-01-17,수,115,551827,1.6,2.3,False
2024-01-18,목,110,527490,-5.1,0.0,False
2024-01-19,금,126,611320,-4.0,0.0,False
2024-01-20,토,135,655598,-2.7,0.0,False
2024-01-21,일,136,651512,1.5,0.0,False
2024-01-22,월,106,530744,-2.8,0.0,False
2024-01-23,화,109,530334,3.3,0.0,False
2024-01-24,수,130,599992,-2.5,0.0,False
2024-01-25,목,121,607397,-1.5,0.0,False
2024-01-26,금,145,706031,1.6,0.0,False
2024-01-27,토,115,575083,-4.8,17.6,False
2024-01-28,일,127,632300,2.1,0.0,False
2024-01-29,월,95,444723,-5.1,0.3,False
2024-01-30,화,112,535427,-0.6,0.0,False
2024-01-31,수,107,519643,0.1,0.0,False
2024-02-01,목,116,569845,0.9,0.0,False
2024-02-02,금,158,780945,0.4,0.0,False
2024-02-03,토,171,813178,2.7,0.0,False
2024-02-04,일,123,597334,2.0,0.0,False
2024-02-05,월,107,529589,3.2,0.0,False
2024-02-06,화,82,398950,3.9,14.2,False
2024-02-07,수,119,561977,-5.2,0.0,False
2024-02-08,목,126,605303,-0.8,0.0,False
2024-02-09,금,193,972595,1.8,0.0,True
2024-02-10,토,204,1010614,-2.7,0.0,True
2024-02-11,일,155,774901,1.2,0.9,True
2024-02-12,월,124,597995,0.1,0.0,True
2024-02-13,화,112,558201,9.3,0.0,False
2024-02-14,수,125,586744,-3.1,0.0,False
2024-02-15,목,115,557042,0.9,0.0,False
2024-02-16,금,143,676595,1.6,0.0,False
2024-02-17,토,183,878850,-2.0,0.0,False
2024-02-18,일,128,610136,-1.5,0.0,False
2024-02-19,월,110,536548,-1.3,0.0,False
2024-02-20,화,121,578514,5.9,0.0,False
2024-02-21,수,124,615862,2.2,0.0,False
2024-02-22,목,147,725193,0.4,0.0,False
2024-02-23,금,139,661111,0.1,10.8,False
2024-02-24,토,160,806183,,0.0,False
2024-02-25,일,118,577540,5.8,0.0,False
2024-02-26,월,119,585769,-0.7,0.0,False
2024-02-27,화,117,588719,-1.3,0.0,False
2024-02-28,수,97,485020,0.0,20.6,False
2024-02-29,목,135,676839,3.6,0.0,False
2024-03-01,금,190,942729,0.9,0.0,True
2024-03-02,토,182,890129,8.8,0.0,False
2024-03-03,일,131,623244,4.6,0.0,False
2024-03-04,월,103,516608,0.1,0.0,False
2024-03-05,화,127,601103,3.2,0.0,False
2024-03-06,수,114,583744,5.4,0.0,False
2024-03-07,목,146,712824,2.8,0.0,False
2024-03-08,금,151,733062,7.1,0.0,False
2024-03-09,토,161,800591,4.8,0.0,False
2024-03-10,일,114,537882,7.7,0.0,False
2024-03-11,월,128,622217,4.8,0.0,False
2024-03-12,화,121,604820,3.1,0.0,False
2024-03-13,수,108,538681,5.5,8.3,False
2024-03-14,목,138,,0.2,0.0,False
2024-03-15,금,173,825397,9.1,2.6,False
2024-03-16,토,182,874869,6.1,0.0,False
2024-03-17,일,165,801582,3.6,0.0,False
2024-03-18,월,117,576125,4.9,0.0,False
2024-03-19,화,123,619433,6.0,0.0,False
2024-03-20,수,99,481987,8.5,46.6,False
2024-03-21,목,140,674911,8.5,0.0,False
2024-03-22,금,152,765711,9.4,0.0,False
2024-03-23,토,175,828178,9.8,2.1,False
2024-03-24,일,154,727358,9.6,3.8,False
2024-03-25,월,115,549071,7.6,0.0,False
2024-03-26,화,120,580361,6.8,0.0,False
2024-03-27,수,130,644651,7.3,0.0,False
2024-03-28,목,142,703020,9.2,0.0,False
2024-03-29,금,130,633621,7.7,20.2,False
2024-03-30,토,190,921132,11.5,1.6,False
2024-03-31,일,135,652369,11.5,1.8,False
2024-04-01,월,109,525657,3.8,0.0,False
2024-04-02,화,138,673553,13.3,0.0,False
2024-04-03,수,128,607150,9.6,0.0,False
2024-04-04,목,156,735466,9.7,0.0,False
2024-04-05,금,141,709032,7.5,0.0,False
2024-04-06,토,162,765356,13.0,0.0,False
2024-04-07,일,151,773659,8.2,0.0,False
2024-04-08,월,122,606161,7.2,0.0,False
2024-04-09,화,141,711177,7.8,0.0,False
2024-04-10,수,164,799948,8.9,0.0,True
2024-04-11,목,144,699962,10.7,0.0,False
2024-04-12,금,172,830744,8.1,0.0,False
2024-04-13,토,178,894652,14.3,0.0,False
2024-04-14,일,152,771052,12.3,0.0,False
2024-04-15,월,127,659824,11.2,0.0,False
2024-04-16,화,116,599366,9.8,10.9,False
2024-04-17,수,163,793309,10.2,0.0,False
2024-04-18,목,167,806537,16.8,0.0,False
2024-04-19,금,161,802708,16.8,2.8,False
2024-04-20,토,202,979391,13.8,0.0,False
2024-04-21,일,144,696243,,0.0,False
2024-04-22,월,127,633900,13.7,0.0,False
2024-04-23,화,146,714758,14.0,0.0,False
2024-04-24,수,143,700995,15.6,0.0,False
