날짜,요일,방문객수,매출,평균기온
"1월 1일, 2024",월,152,"724,862",1.5
"1월 2일, 2024",화,107,"520,425",-2.7
2024/01/03,  수 ,125,"601,783원",-1.8
2024/01/04,목,123,"601,112원",1.7
2024/01/05,금,141,"698,791원",-4.8
2024/01/06,토,165,"833,734원",-1.0
2024/01/07,일,134,"648,510원",-0.5
2024-01-08,월,113,"565,359원",2.6
2024-01-09,화,100,"475,573",-4.6
2024/01/10,수,115,"553,111",-3.0
"1월 11일, 2024",목,112,"517,960",-2.4
"1월 12일, 2024",  금 ,140,"702,275원",-2.0
"1월 13일, 2024",토,166,"803,495",-0.6
2024/01/14,  일 ,113,"556,580",-7.3
2024/01/15,  월 ,104,"514,193원",0.3
2024-01-16,화,100,"454,080원",3.1
2024-01-17,수,115,"551,827원",1.6
2024/01/18,  목 ,110,"527,490원",-5.1
2024-01-19,  금 ,126,"611,320원",-4.0
2024-01-20,토,135,"655,598원",-2.7
"1월 21일, 2024",일,136,"651,512",1.5
2024-01-22,월,106,"530,744",-2.8
2024-01-23,화,109,"530,334",3.3
"1월 24일, 2024",수,130,"599,992",-2.5
2024-01-25,  목 ,121,"607,397",-1.5
2024/01/26,금,145,"706,031",1.6
"1월 27일, 2024",  토 ,115,"575,083원",-4.8
2024-01-28,  일 ,127,"632,300",2.1
2024-01-29,  월 ,95,"444,723",-5.1
2024-01-30,  화 ,112,"535,427원",-0.6
2024/01/31,수,107,"519,643원",0.1
2024/02/01,목,116,"569,845원",0.9
"2월 2일, 2024",금,158,"780,945",0.4
"2월 3일, 2024",  토 ,171,"813,178원",2.7
"2월 4일, 2024",일,123,"597,334",2.0
2024-02-05,월,107,"529,589원",3.2
"2월 6일, 2024",  화 ,82,"398,950",3.9
2024/02/07,수,119,"561,977원",-5.2
"2월 8일, 2024",  목 ,126,"605,303",-0.8
2024/02/09,금,193,"972,595",1.8
2024/02/10,토,204,"1,010,614원",-2.7
2024-02-11,일,155,"774,901",1.2
"2월 12일, 2024",월,124,"597,995원",0.1
"2월 13일, 2024",화,112,"558,201",9.3
2024-02-14,수,125,"586,744원",-3.1
2024/02/15,  목 ,115,"557,042원",0.9
2024/02/16,금,143,"676,595",1.6
"2월 17일, 2024",  토 ,183,"878,850원",-2.0
"2월 18일, 2024",일,128,"610,136원",-1.5
2024-02-19,월,110,"536,548원",-1.3
2024-02-20,화,121,"578,514원",5.9
2024/02/21,수,124,"615,862",2.2
"2월 22일, 2024",목,147,"725,193",0.4
"2월 23일, 2024",금,139,"661,111",0.1
"2월 24일, 2024",토,160,"806,183",
"2월 25일, 2024",일,118,"577,540원",5.8
2024-02-26,  월 ,119,"585,769원",-0.7
"2월 27일, 2024",화,117,"588,719",-1.3
2024/02/28,수,97,"485,020원",0.0
2024-02-29,목,135,"676,839원",3.6
2024-03-01,  금 ,190,"942,729원",0.9
"3월 2일, 2024",토,182,"890,129",8.8
"3월 3일, 2024",  일 ,131,"623,244원",4.6
"3월 4일, 2024",월,103,"516,608",0.1
2024-03-05,  화 ,127,"601,103원",3.2
"3월 6일, 2024",수,114,"583,744",5.4
2024/03/07,목,146,"712,824",2.8
"3월 8일, 2024",  금 ,151,"733,062",7.1
"3월 9일, 2024",토,161,"800,591",4.8
2024-03-10,  일 ,114,"537,882",7.7
2024-03-11,  월 ,128,"622,217원",4.8
2024-03-12,화,121,"604,820원",3.1
2024/03/13,수,108,"538,681",5.5
"3월 14일, 2024",목,138,,0.2
2024-03-15,금,173,"825,397원",9.1
2024/03/16,  토 ,182,"874,869원",6.1
2024-03-17,일,165,"801,582원",3.6
2024-03-18,  월 ,117,"576,125",4.9
2024/03/19,  화 ,123,"619,433원",6.0
2024-03-20,수,99,"481,987",8.5
2024-03-21,목,140,"674,911",8.5
2024-03-22,  금 ,152,"765,711원",9.4
