date,menu,category,orders,amount
2024-01-01,아메리카노,커피,56,252000
2024-01-01,카페라떼,라떼/기타,29,145000
2024-01-01,바닐라라떼,라떼/기타,19,104500
2024-01-01,콜드브루,커피,14,77000
2024-01-01,카푸치노,라떼/기타,10,50000
2024-01-01,녹차라떼,라떼/기타,9,49500
2024-01-01,초코라떼,라떼/기타,7,38500
2024-01-01,에스프레소,커피,6,21000
2024-01-01,디카페인 아메리카노,커피,5,25000
2024-01-02,아메리카노,커피,36,162000
2024-01-02,카페라떼,라떼/기타,20,100000
2024-01-02,바닐라라떼,라떼/기타,15,82500
2024-01-02,콜드브루,커피,8,44000
2024-01-02,카푸치노,라떼/기타,5,25000
2024-01-02,녹차라떼,라떼/기타,6,33000
2024-01-02,초코라떼,라떼/기타,5,27500
2024-01-02,에스프레소,커피,3,10500
2024-01-02,디카페인 아메리카노,커피,4,20000
2024-01-03,아메리카노,커피,47,211500
2024-01-03,카페라떼,라떼/기타,28,140000
2024-01-03,바닐라라떼,라떼/기타,12,66000
2024-01-03,콜드브루,커피,17,93500
2024-01-03,카푸치노,라떼/기타,7,35000
2024-01-03,녹차라떼,라떼/기타,8,44000
2024-01-03,초코라떼,라떼/기타,4,22000
2024-01-03,에스프레소,커피,6,21000
2024-01-03,디카페인 아메리카노,커피,3,15000
2024-01-04,아메리카노,커피,35,157500
2024-01-04,카페라떼,라떼/기타,19,95000
2024-01-04,바닐라라떼,라떼/기타,14,77000
2024-01-04,콜드브루,커피,11,60500
2024-01-04,카푸치노,라떼/기타,8,40000
2024-01-04,녹차라떼,라떼/기타,4,22000
2024-01-04,초코라떼,라떼/기타,3,16500
2024-01-04,에스프레소,커피,5,17500
2024-01-04,디카페인 아메리카노,커피,3,15000
2024-01-05,아메리카노,커피,33,148500
2024-01-05,카페라떼,라떼/기타,19,95000
2024-01-05,바닐라라떼,라떼/기타,22,121000
2024-01-05,콜드브루,커피,15,82500
2024-01-05,카푸치노,라떼/기타,9,45000
2024-01-05,녹차라떼,라떼/기타,8,44000
2024-01-05,초코라떼,라떼/기타,5,27500
2024-01-05,에스프레소,커피,6,21000
2024-01-05,디카페인 아메리카노,커피,4,20000
2024-01-06,아메리카노,커피,49,220500
2024-01-06,카페라떼,라떼/기타,28,140000
2024-01-06,바닐라라떼,라떼/기타,21,115500
2024-01-06,콜드브루,커피,12,66000
2024-01-06,카푸치노,라떼/기타,8,40000
2024-01-06,녹차라떼,라떼/기타,7,38500
2024-01-06,초코라떼,라떼/기타,8,44000
2024-01-06,에스프레소,커피,4,14000
2024-01-06,디카페인 아메리카노,커피,5,25000
2024-01-07,아메리카노,커피,38,171000
2024-01-07,카페라떼,라떼/기타,21,105000
2024-01-07,바닐라라떼,라떼/기타,8,44000
2024-01-07,콜드브루,커피,14,77000
2024-01-07,카푸치노,라떼/기타,9,45000
2024-01-07,녹차라떼,라떼/기타,5,27500
2024-01-07,초코라떼,라떼/기타,6,33000
2024-01-07,에스프레소,커피,4,14000
2024-01-07,디카페인 아메리카노,커피,4,20000
2024-01-08,아메리카노,커피,33,148500
2024-01-08,카페라떼,라떼/기타,27,135000
2024-01-08,바닐라라떼,라떼/기타,13,71500
2024-01-08,콜드브루,커피,12,66000
2024-01-08,카푸치노,라떼/기타,8,40000
2024-01-08,녹차라떼,라떼/기타,8,44000
2024-01-08,초코라떼,라떼/기타,6,33000
2024-01-08,에스프레소,커피,3,10500
2024-01-08,디카페인 아메리카노,커피,3,15000
2024-01-09,아메리카노,커피,29,130500
2024-01-09,카페라떼,라떼/기타,20,100000
2024-01-09,바닐라라떼,라떼/기타,11,60500
2024-01-09,콜드브루,커피,11,60500
2024-01-09,카푸치노,라떼/기타,8,40000
2024-01-09,녹차라떼,라떼/기타,4,22000
2024-01-09,초코라떼,라떼/기타,3,16500
2024-01-09,에스프레소,커피,4,14000
2024-01-09,디카페인 아메리카노,커피,3,15000
2024-01-10,아메리카노,커피,42,189000
2024-01-10,카페라떼,라떼/기타,14,70000
2024-01-10,바닐라라떼,라떼/기타,14,77000
2024-01-10,콜드브루,커피,8,44000
2024-01-10,카푸치노,라떼/기타,7,35000
2024-01-10,녹차라떼,라떼/기타,7,38500
2024-01-10,초코라떼,라떼/기타,6,33000
2024-01-10,에스프레소,커피,4,14000
2024-01-10,디카페인 아메리카노,커피,3,15000
2024-01-11,아메리카노,커피,46,207000
2024-01-11,카페라떼,라떼/기타,23,115000
2024-01-11,바닐라라떼,라떼/기타,15,82500
2024-01-11,콜드브루,커피,17,93500
2024-01-11,카푸치노,라떼/기타,9,45000
2024-01-11,녹차라떼,라떼/기타,7,38500
2024-01-11,초코라떼,라떼/기타,5,27500
2024-01-11,에스프레소,커피,4,14000
2024-01-11,디카페인 아메리카노,커피,3,15000
2024-01-12,아메리카노,커피,57,256500
2024-01-12,카페라떼,라떼/기타,30,150000
2024-01-12,바닐라라떼,라떼/기타,18,99000
2024-01-12,콜드브루,커피,12,66000
2024-01-12,카푸치노,라떼/기타,7,35000
2024-01-12,녹차라떼,라떼/기타,10,55000
2024-01-12,초코라떼,라떼/기타,7,38500
2024-01-12,에스프레소,커피,5,17500
2024-01-12,디카페인 아메리카노,커피,3,15000
2024-01-13,아메리카노,커피,62,279000
2024-01-13,카페라떼,라떼/기타,32,160000
2024-01-13,바닐라라떼,라떼/기타,14,77000
2024-01-13,콜드브루,커피,17,93500
2024-01-13,카푸치노,라떼/기타,8,40000
2024-01-13,녹차라떼,라떼/기타,10,55000
2024-01-13,초코라떼,라떼/기타,7,38500
2024-01-13,에스프레소,커피,7,24500
2024-01-13,디카페인 아메리카노,커피,3,15000
2024-01-14,아메리카노,커피,29,130500
2024-01-14,카페라떼,라떼/기타,22,110000
2024-01-14,바닐라라떼,라떼/기타,12,66000
2024-01-14,콜드브루,커피,7,38500
2024-01-14,카푸치노,라떼/기타,10,50000
2024-01-14,녹차라떼,라떼/기타,4,22000
2024-01-14,초코라떼,라떼/기타,5,27500
2024-01-14,에스프레소,커피,5,17500
2024-01-14,디카페인 아메리카노,커피,3,15000
2024-01-15,아메리카노,커피,25,112500
2024-01-15,카페라떼,라떼/기타,22,110000
2024-01-15,바닐라라떼,라떼/기타,11,60500
2024-01-15,콜드브루,커피,11,60500
2024-01-15,카푸치노,라떼/기타,8,40000
2024-01-15,녹차라떼,라떼/기타,8,44000
2024-01-15,초코라떼,라떼/기타,5,27500
2024-01-15,에스프레소,커피,3,10500
2024-01-15,디카페인 아메리카노,커피,3,15000
2024-01-16,아메리카노,커피,39,175500
2024-01-16,카페라떼,라떼/기타,24,120000
2024-01-16,바닐라라떼,라떼/기타,12,66000
2024-01-16,콜드브루,커피,9,49500
2024-01-16,카푸치노,라떼/기타,7,35000
2024-01-16,녹차라떼,라떼/기타,7,38500
2024-01-16,초코라떼,라떼/기타,4,22000
2024-01-16,에스프레소,커피,4,14000
2024-01-16,디카페인 아메리카노,커피,2,10000
2024-01-17,아메리카노,커피,44,198000
2024-01-17,카페라떼,라떼/기타,17,85000
2024-01-17,바닐라라떼,라떼/기타,10,55000
2024-01-17,콜드브루,커피,9,49500
2024-01-17,카푸치노,라떼/기타,3,15000
2024-01-17,녹차라떼,라떼/기타,7,38500
2024-01-17,초코라떼,라떼/기타,5,27500
2024-01-17,에스프레소,커피,5,17500
2024-01-17,디카페인 아메리카노,커피,3,15000
2024-01-18,아메리카노,커피,22,99000
2024-01-18,카페라떼,라떼/기타,24,120000
2024-01-18,바닐라라떼,라떼/기타,12,66000
2024-01-18,콜드브루,커피,10,55000
2024-01-18,카푸치노,라떼/기타,8,40000
