date,avg_temp,rain_mm,weather
2024-01-01,1.5,0.0,흐림
2024-01-02,-2.7,0.0,흐림
2024-01-03,-1.8,0.0,구름많음
2024-01-05,-4.8,0.0,구름많음
2024-01-07,-0.5,0.0,구름많음
2024-01-08,2.6,0.0,흐림
2024-01-10,-3.0,0.0,흐림
2024-01-11,-2.4,0.0,흐림
2024-01-12,-2.0,0.0,맑음
2024-01-13,-0.6,0.0,구름많음
2024-01-14,-7.3,0.0,흐림
2024-01-15,0.3,0.0,흐림
2024-01-16,3.1,0.0,맑음
2024-01-17,1.6,2.3,약한비
2024-01-18,-5.1,0.0,흐림
2024-01-19,-4.0,0.0,흐림
2024-01-20,-2.7,0.0,구름많음
2024-01-21,1.5,0.0,맑음
2024-01-22,-2.8,0.0,맑음
2024-01-23,3.3,0.0,구름많음
2024-01-24,-2.5,0.0,맑음
2024-01-25,-1.5,0.0,맑음
2024-01-26,1.6,0.0,맑음
2024-01-27,-4.8,17.6,비
2024-01-28,2.1,0.0,맑음
2024-01-29,-5.1,0.3,약한비
2024-01-30,-0.6,0.0,맑음
2024-01-31,0.1,0.0,흐림
2024-02-02,0.4,0.0,맑음
2024-02-03,2.7,0.0,맑음
2024-02-04,2.0,0.0,구름많음
2024-02-05,3.2,0.0,흐림
2024-02-06,3.9,14.2,약한비
2024-02-07,-5.2,0.0,흐림
2024-02-08,-0.8,0.0,구름많음
2024-02-09,1.8,0.0,맑음
2024-02-10,-2.7,0.0,흐림
2024-02-11,1.2,0.9,약한비
2024-02-12,0.1,0.0,흐림
2024-02-13,9.3,0.0,흐림
2024-02-14,-3.1,0.0,흐림
2024-02-15,0.9,0.0,흐림
2024-02-16,1.6,0.0,맑음
2024-02-17,-2.0,0.0,맑음
2024-02-18,-1.5,0.0,맑음
2024-02-19,-1.3,0.0,구름많음
2024-02-20,5.9,0.0,흐림
2024-02-21,2.2,0.0,흐림
2024-02-22,0.4,0.0,구름많음
2024-02-23,0.1,10.8,약한비
2024-02-24,,0.0,구름많음
2024-02-25,5.8,0.0,맑음
2024-02-26,-0.7,0.0,구름많음
2024-02-27,-1.3,0.0,흐림
2024-02-28,0.0,20.6,비
2024-02-29,3.6,0.0,흐림
2024-03-01,0.9,0.0,구름많음
2024-03-02,8.8,0.0,흐림
2024-03-03,4.6,0.0,흐림
2024-03-04,0.1,0.0,구름많음
2024-03-05,3.2,0.0,맑음
2024-03-06,5.4,0.0,맑음
2024-03-07,2.8,0.0,흐림
2024-03-08,7.1,0.0,구름많음
2024-03-09,4.8,0.0,맑음
2024-03-10,7.7,0.0,맑음
2024-03-11,4.8,0.0,구름많음
2024-03-12,3.1,0.0,구름많음
2024-03-13,5.5,8.3,약한비
2024-03-14,0.2,0.0,구름많음
2024-03-15,9.1,2.6,약한비
2024-03-16,6.1,0.0,구름많음
2024-03-17,3.6,0.0,맑음
2024-03-18,4.9,0.0,맑음
2024-03-19,6.0,0.0,구름많음
2024-03-20,8.5,46.6,비
2024-03-21,8.5,0.0,맑음
2024-03-22,9.4,0.0,맑음
